Brand_ID,Brand_Name,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs
BRAND-0001,Brand_1,D,Tencel,No,1.75,4511152.79,97844.11,No
BRAND-0002,Brand_2,D,Vegan Leather,Yes,124.39,1951566.31,37267.75,No
BRAND-0003,Brand_3,A,Vegan Leather,No,336.66,467454.52,38385.92,No
BRAND-0004,Brand_4,D,Bamboo Fabric,No,152.04,899576.9,32665.45,No
BRAND-0005,Brand_5,D,Bamboo Fabric,Yes,415.63,1809219.9,37295.47,Yes
BRAND-0006,Brand_6,B,Recycled Polyester,No,447.65,2244115.38,69017.63,Yes
BRAND-0007,Brand_7,A,Hemp,Yes,345.64,1020265.49,18373.35,No
BRAND-0008,Brand_8,C,Tencel,No,336.7,3847649.16,28717.69,No
BRAND-0009,Brand_9,D,Recycled Polyester,Yes,386.68,1494891.28,45916.88,Yes
BRAND-0010,Brand_10,A,Bamboo Fabric,No,250.94,3892548.66,58636.15,No
BRAND-0011,Brand_11,B,Organic Cotton,Yes,417.76,3489944.51,50610.02,Yes
BRAND-0012,Brand_12,C,Hemp,No,122.81,2563102.3,44827.29,Yes
BRAND-0013,Brand_13,A,Hemp,No,413.27,3162662.08,2507.82,No
BRAND-0014,Brand_14,B,Tencel,Yes,164.83,4380926.36,39252.99,Yes
BRAND-0015,Brand_15,D,Bamboo Fabric,No,215.43,4210420.72,88315.18,Yes
BRAND-0016,Brand_16,C,Recycled Polyester,Yes,227.94,1040405.39,98864.61,No
BRAND-0017,Brand_17,A,Bamboo Fabric,Yes,45.07,4448039.39,34738.56,Yes
BRAND-0018,Brand_18,D,Recycled Polyester,No,335.15,1068529.66,20532.15,No
BRAND-0019,Brand_19,B,Bamboo Fabric,No,173.93,434142.38,46905.65,No
BRAND-0020,Brand_20,C,Hemp,Yes,437.75,2345334.52,96370.47,No
BRAND-0021,Brand_21,B,Vegan Leather,No,489.19,1549017.38,17075.64,Yes
BRAND-0022,Brand_22,D,Vegan Leather,Yes,375.74,3398780.12,75519.58,Yes
BRAND-0023,Brand_23,D,Organic Cotton,Yes,323.83,1166563.37,66186.01,No
BRAND-0024,Brand_24,B,Recycled Polyester,Yes,240.91,4088887.9,53391.1,Yes
BRAND-0025,Brand_25,D,Recycled Polyester,No,411.26,3981108.89,98686.02,Yes
BRAND-0026,Brand_26,C,Organic Cotton,No,234.31,2678432.31,40469.98,No
BRAND-0027,Brand_27,C,Vegan Leather,Yes,181.28,1471160.32,8540.04,Yes
BRAND-0028,Brand_28,D,Organic Cotton,Yes,72.78,4564734.97,68343.61,No
BRAND-0029,Brand_29,C,Tencel,No,60.14,404782.57,11022.95,No
BRAND-0030,Brand_30,B,Hemp,No,184.09,2206445.72,13839.54,Yes
BRAND-0031,Brand_31,C,Hemp,Yes,189.84,3274778.79,71921.1,Yes
BRAND-0032,Brand_32,A,Bamboo Fabric,Yes,157.86,1103107.94,23052.1,Yes
BRAND-0033,Brand_33,D,Tencel,Yes,148.28,3912838.88,57197.09,No
BRAND-0034,Brand_34,D,Vegan Leather,Yes,356.24,2261695.47,78206.66,No
BRAND-0035,Brand_35,B,Recycled Polyester,Yes,292.76,1978759.25,33864.19,Yes
BRAND-0036,Brand_36,A,Vegan Leather,No,485.95,1745500.04,84480.28,No
BRAND-0037,Brand_37,C,Recycled Polyester,No,480.24,2518993.55,30367.21,No
